Date,High,Low,Open,Close,Volume,Adj Close
25-09-2020,182.0700073,178.9400024,179.25,181.25,155500,179.1601105
28-09-2020,184.0700073,182.9400024,183.8600006,183.2799988,124900,181.1667023
29-09-2020,184.2700043,182.1000061,183.6300049,182.3500061,120600,180.2474213
30-09-2020,185.1950073,182.3500061,182.8500061,184.0899963,249800,181.9673615
01-10-2020,185.0800018,182.9199982,184.4900055,184.6000061,183600,182.4714966
02-10-2020,182.4649963,180.5549927,180.5899963,180.8699951,186800,178.7844849
05-10-2020,182.75,180.6399994,181.25,182.6300049,133300,180.5242157
06-10-2020,181.4900055,176.0299988,181.2899933,176.4900055,345200,174.4550018
07-10-2020,184.6100006,180.4799957,180.5399933,183.3999939,441100,181.2853088
08-10-2020,182.8300018,180.9700012,182.2799988,181.3200073,212900,179.2293091
09-10-2020,183.3999939,181.2200012,181.7899933,182.8399963,140100,180.731781
12-10-2020,185.5899963,184.1199951,184.7400055,184.8999939,159000,182.7680206
13-10-2020,185.8000031,183.5099945,185.8000031,184.1900024,119200,182.0662079
14-10-2020,186.8600006,183.8849945,185.9900055,185.7599945,259300,183.618103
15-10-2020,188.6199951,181.7299957,181.7400055,187.7100067,542600,185.545639
16-10-2020,194.3200073,190.8800049,191.0599976,192.5200043,500400,190.3001709
19-10-2020,193,188.8200073,192.5299988,189.3699951,285000,187.1864777
20-10-2020,194.3699951,191.9199982,192.3399963,192.5399933,182400,190.319931
21-10-2020,192.0899963,189.3300018,189.7799988,189.9299927,221600,187.7400208
22-10-2020,191.7899933,188.6600037,189.1999969,190.1000061,306600,187.9080658
23-10-2020,190.9600067,188.4900055,190.5099945,189.9700012,204700,187.7795715
26-10-2020,186.6499939,184.3899994,186.0599976,185.4199982,223000,183.2820282
27-10-2020,186.7100067,184.8300018,186.7100067,185.3399963,240100,183.2029419
28-10-2020,180.5599976,177,179.1199951,177.1199951,395400,175.0777283
29-10-2020,179.8450012,176.2870026,177.1000061,178.5700073,190600,176.5110321
30-10-2020,179.3000031,176.7100067,178.4100037,178.4199982,228500,176.3627472
02-11-2020,183.7799988,180.6900024,180.6999969,183.1799927,337600,181.0678558
03-11-2020,198.1999969,191.6549988,192.9900055,196.0099945,671100,193.7499237
04-11-2020,203.2899933,199.6999969,202.1000061,202.1999969,491300,199.8685455
05-11-2020,207.2599945,203.4499969,204.1799927,207.0899963,379400,204.7021637
06-11-2020,208.9400024,206.5,207,208,481600,205.6016693
09-11-2020,213.4799957,205.3699951,212.6999969,205.8000031,399200,203.4270477
10-11-2020,205.5899963,202.3500061,203.4600067,204.6000061,194200,202.2408905
11-11-2020,210.0599976,207.8200073,207.8200073,209.2700043,195900,206.8570404
12-11-2020,209.1999969,204.0399933,208.8500061,205.4799957,295500,203.1107178
13-11-2020,208.5099945,205.5,208.0599976,206.6900024,777800,204.306778
16-11-2020,208.9199982,205.6999969,208.5,207.6699982,274100,205.2754822
17-11-2020,212.0099945,209.6100006,210.7100067,210.3500061,302400,207.9245758
18-11-2020,215.4799957,212.7899933,214.5099945,214.0299988,443700,211.5621338
19-11-2020,214.1699982,211.8999939,212.4600067,214.1699982,195500,211.700531
20-11-2020,212.75,209.0299988,211.9199982,209.7400055,200200,207.3216095
23-11-2020,211.1900024,207.8919983,210.6499939,209.9600067,191900,207.5390778
24-11-2020,211.6199951,208.6499939,210,210.3000031,243100,207.8751526
25-11-2020,213.0800018,210.8300018,211.2799988,212.3899994,144100,209.9410553
27-11-2020,213.6699982,212.6100006,212.7400055,212.7400055,150300,210.2870331
30-11-2020,214.5599976,210.6999969,214.5599976,211.1100006,258400,208.6758118
01-12-2020,214.9499969,212.3399963,212.5899963,214.3899994,255500,211.9179993
02-12-2020,215.1900024,212.2599945,213.5700073,214.7700043,169400,212.2936249
03-12-2020,216.5,214.6999969,215.3999939,215.3500061,274400,212.8669281
04-12-2020,212.7599945,209.848999,212.1999969,210.3399963,555100,207.9146881
07-12-2020,211.8950043,209.4700012,209.8099976,210.6600037,251200,208.2310181
08-12-2020,215.9400024,210.5,210.5200043,214,244000,211.5325012
09-12-2020,217.4900055,213.5599976,216.6799927,214.9499969,285900,212.4715424
10-12-2020,215.1649933,212.2250061,213.4299927,213.9299927,268400,211.4632874
11-12-2020,215.3699951,212.8000031,213.0700073,214.8899994,217400,212.4122314
14-12-2020,218.7200012,215.7899933,217.3500061,216.3999939,233800,213.9048157
15-12-2020,222.0500031,219.5,220.2400055,221.0299988,256400,218.4814301
16-12-2020,223.6300049,221.5299988,223.6100006,222.1900024,297600,219.6280518
17-12-2020,225.8800049,223.2400055,223.7200012,223.7299957,264900,221.1502991
18-12-2020,226.3600006,224.5399933,226.0200043,225.7299957,179300,223.1272278
21-12-2020,225.2899933,219.9400024,220.9600067,224.6399994,290600,222.0498047
22-12-2020,229,224.8000031,225.4799957,227.5399933,279600,224.9163666
23-12-2020,228.9199982,224.9400024,228.1799927,225.3399963,281700,222.741745
24-12-2020,226,223.7799988,225.0099945,225.5299988,53800,222.9295502
28-12-2020,229.6649933,227.6300049,229.4400024,228.6100006,194600,225.9740295
29-12-2020,233.6600037,229.4100037,233.6600037,229.6399994,350300,226.992157
30-12-2020,233.3899994,228.6959991,233.0099945,229.6900024,225300,227.0415802
31-12-2020,230.1000061,227.0399933,229.0200043,229.5200043,134400,226.8735504
04-01-2021,232.3099976,225.9100037,231.6600037,227.0099945,324800,224.3924713
05-01-2021,228.1799927,225.5,226.0200043,226.0800018,276700,223.4732056
06-01-2021,223.7400055,221.1199951,221.3300018,221.75,324200,219.1931305
07-01-2021,222.3899994,220.125,221.0099945,222.1000061,283200,219.539093
08-01-2021,220.8500061,216.5599976,219.5899963,217.9700012,684200,215.4567261
11-01-2021,219.6999969,215.2160034,215.5200043,217.9600067,616100,215.4468384
12-01-2021,219.3399963,215.9299927,216.6000061,217.9600067,227000,215.4468384
13-01-2021,221.9400024,219.2799988,220.3800049,221.6900024,263800,219.1338196
14-01-2021,220.6699982,215.25,219.5399933,216.1600037,324900,213.6675873
15-01-2021,215.1399994,209.7599945,214.8200073,210.0700073,336300,207.6478119
19-01-2021,211.4900055,208.4100037,211.4900055,210.4299927,248600,208.0036621
20-01-2021,214.0850067,211.2299957,211.5200043,213.6499939,167600,211.1865234
21-01-2021,217.1199951,213,213.4100037,216.1399994,310400,213.6478271
22-01-2021,214.4949951,210.7899933,213.8099976,212.0700073,276500,209.6247559
25-01-2021,211.9199982,208.6699982,211.6300049,210.1600037,452700,207.7367706
26-01-2021,211.6499939,208.3099976,211.0800018,208.5,449500,206.0959015
27-01-2021,209.3300018,203.8000031,206.5200043,207.25,385900,204.860321
28-01-2021,208.7899933,206.4700012,208.1900024,206.9799957,550200,204.5934296
29-01-2021,210.2059937,206.9600067,209.5,208.1799927,429400,205.7795868
01-02-2021,217.7200012,211.8000031,212.4900055,216.9900055,582200,214.4880219
02-02-2021,212.8899994,204.7200012,211.0899963,207.7899933,1005300,205.3940887
03-02-2021,201.8350067,194.2400055,201.6900024,200,1991000,197.6939087
04-02-2021,204.0800018,200,200.0800018,201.3300018,574700,199.0085754
05-02-2021,204.0899963,201.6900024,203.8699951,202.6799927,215000,200.3430176
08-02-2021,209.0099945,206.6100006,207.5,208.6799927,313200,206.2738342
09-02-2021,209.5500031,207.8899994,208.3600006,209.1799927,204700,206.7680664
10-02-2021,209.0399933,206.4900055,208.75,207.1499939,150800,204.7614746
11-02-2021,205.8200073,203.6000061,205.4499969,204.9299927,169200,202.5670624
12-02-2021,205.8370056,203.4299927,204.0299988,205.3500061,146600,202.9822388
16-02-2021,203.6600037,201.5599976,203.4799957,201.9700012,230100,199.6412048
17-02-2021,200.5200043,198.0099945,198.2599945,199.9299927,303900,197.6247101
18-02-2021,199.9400024,197.4600067,199.0899963,199.4499969,318400,197.1502533
19-02-2021,199.3820038,198,199.1699982,198.2899933,142000,196.0036316
22-02-2021,198.6600037,195.3200073,195.8800049,196.7200012,224900,194.4517365
23-02-2021,197.5399933,192.1809998,194.6699982,196.8099976,385300,194.5406952
24-02-2021,197.4799957,194.1499939,195.2799988,196.4100037,294900,194.1453247
25-02-2021,197.1699982,193.4400024,196.1999969,194.8300018,295300,192.5835266
26-02-2021,198.4700012,194.9600067,196.3999939,197.3800049,389400,195.104126
01-03-2021,198.5650024,194.8000031,195,197.6999969,367600,195.4204254
02-03-2021,198.0500031,195.3099976,196.7599945,196.4799957,191600,194.2144928
03-03-2021,195.0299988,190.8999939,192.6600037,191.4499969,417500,189.2425079
04-03-2021,191.0599976,185.1199951,189.4499969,187.7799988,683000,185.6148071
05-03-2021,189.4299927,183.8200073,189.4299927,188.8999939,350500,186.7219086
08-03-2021,191.9299927,187.7140045,188.1699982,188.5200043,257900,186.3462982
09-03-2021,194.947998,192.7449951,192.9600067,193.0299988,347800,190.8042755
10-03-2021,194.4299927,191.8000031,194.4299927,191.8300018,277900,189.6181335
11-03-2021,197.9199982,195.5099945,197.9199982,196.8200073,452500,194.5505981
12-03-2021,196.1499939,192.7799988,193.8999939,195.8099976,142400,193.5522308
15-03-2021,195.7799988,193.8999939,195.2400055,195.6300049,136100,193.3743134
16-03-2021,197.3300018,194.4850006,197.2200012,196.6199951,343100,194.35289
17-03-2021,197.8800049,194.3600006,195.3999939,197.5399933,158700,195.2622833
18-03-2021,195.6199951,193.4499969,194.2599945,194.6499939,301300,192.4055939
19-03-2021,197.2599945,193.4499969,196.3899994,197.0599976,449400,194.7878113
22-03-2021,209.4100037,201.3000031,201.8099976,208.0599976,659100,205.6609802
23-03-2021,206.8500061,202.2700043,206.6399994,202.8200073,510400,200.4814148
24-03-2021,202.2899933,199.2649994,201.0599976,200.3500061,366600,198.0398865
25-03-2021,204.2799988,199.1300049,199.2899933,203.9499969,410100,201.5983734
26-03-2021,204.8000031,201.5399933,203.1100006,204.2599945,650400,201.9047852
29-03-2021,205.5,202.8699951,203.7200012,204.4299927,370600,202.0728302
30-03-2021,208.9499969,203.2700043,203.4799957,208.7700043,525400,206.3628082
31-03-2021,210.3699951,208.6100006,209,209.2799988,325900,206.8669128
01-04-2021,211.3800049,207.5599976,209.9799957,208.0399933,487000,205.6412048
05-04-2021,214.5299988,209.6000061,210.3000031,213.5200043,421900,211.0580292
06-04-2021,210.4100037,208.3249969,208.9700012,209.1900024,260600,206.7779541
07-04-2021,210.1799927,207.3099976,207.6799927,208.8000031,326800,206.3924561
08-04-2021,209.9550018,207.9909973,208.6300049,209.1699982,236500,206.7581787
09-04-2021,209.7400055,206.5399933,207.7400055,209.1999969,238100,206.7878418
12-04-2021,212.4199982,208.2299957,209.1699982,211.9799957,450600,209.5357819
13-04-2021,211.4900055,209.6000061,210.3500061,210.1999969,236800,207.7762909
14-04-2021,211.6499939,206.8600006,211.6499939,207.4199982,877900,205.0283508
15-04-2021,212,208.9400024,211.0299988,210.9499969,959700,208.5176544
16-04-2021,212.6399994,210.5500031,210.9499969,212,198700,209.555542
19-04-2021,212.7299957,210.5749969,212.6300049,212.1999969,177400,210.7862854
